Date,Open,High,Low,Close,Adj Close,Volume
7/13/2020,320.130005,322.709991,314.130005,314.839996,312.253693,102997500
7/14/2020,313.299988,319.76001,312,318.920013,316.300201,93657000
7/15/2020,322.410004,323.040009,319.269989,321.850006,319.206116,87196500
7/16/2020,319.790009,321.279999,319.089996,320.790009,318.154846,54622500
7/17/2020,321.880005,322.570007,319.73999,321.720001,319.077179,62774900
7/20/2020,321.429993,325.130005,320.619995,324.320007,321.655823,56308800
7/21/2020,326.450012,326.929993,323.940002,325.01001,322.340179,57499000
7/22/2020,324.619995,327.200012,324.5,326.859985,324.174957,57792900
7/23/2020,326.470001,327.230011,321.480011,322.959991,320.306976,75738000
7/24/2020,320.950012,321.98999,319.25,320.880005,318.24408,73766600
7/27/2020,321.630005,323.410004,320.769989,323.220001,320.56485,48293000
7/28/2020,322.429993,323.640015,320.850006,321.170013,318.531708,57495000
7/29/2020,322.119995,325.730011,322.079987,325.119995,322.449249,48454200
7/30/2020,321.899994,324.410004,319.640015,323.959991,321.298767,61861700
7/31/2020,325.899994,326.630005,321.329987,326.519989,323.837738,85210800
8/3/2020,328.320007,329.619995,327.730011,328.790009,326.089111,53077900
8/4/2020,327.859985,330.059998,327.859985,330.059998,327.348663,41917900
8/5/2020,331.470001,332.390015,331.179993,332.109985,329.381805,42866400
8/6/2020,331.480011,334.459991,331.130005,334.329987,331.583588,43679400
8/7/2020,333.279999,334.880005,332.299988,334.570007,331.821655,57308300
8/10/2020,335.059998,335.769989,332.959991,335.570007,332.813416,44282100
8/11/2020,336.850006,337.540009,332.01001,332.799988,330.066162,69601100
8/12/2020,335.440002,338.279999,335.410004,337.440002,334.66806,53826100
8/13/2020,336.609985,338.25,335.829987,336.829987,334.063019,41816100
8/14/2020,336.410004,337.420013,335.619995,336.839996,334.072968,47260400
8/17/2020,337.940002,338.339996,336.850006,337.910004,335.134186,35481000
8/18/2020,338.339996,339.100006,336.609985,338.640015,335.858215,38733900
8/19/2020,339.049988,339.609985,336.619995,337.230011,334.459778,68054200
8/20/2020,335.359985,338.799988,335.220001,338.279999,335.50116,42207800
8/21/2020,337.920013,339.720001,337.549988,339.480011,336.691284,55106600
8/24/2020,342.119995,343,339.450012,342.920013,340.103058,48588700
8/25/2020,343.529999,344.209991,342.269989,344.119995,341.293182,38463400
8/26/2020,344.76001,347.859985,344.170013,347.570007,344.714844,50790200
8/27/2020,348.51001,349.899994,346.529999,348.329987,345.468567,58034100
8/28/2020,349.440002,350.720001,348.149994,350.579987,347.700104,48588900
8/31/2020,350.350006,351.299988,349.059998,349.309998,346.440552,66099200
9/1/2020,350.209991,352.709991,349.23999,352.600006,349.703522,54999300
9/2/2020,354.670013,358.75,353.429993,357.700012,354.761627,69540000
9/3/2020,355.869995,356.380005,342.589996,345.390015,342.552765,148011100
9/4/2020,346.130005,347.829987,334.869995,342.570007,339.75589,139156300
9/8/2020,336.709991,342.640015,332.880005,333.209991,330.472778,114465300
9/9/2020,337.549988,342.459991,336.609985,339.790009,336.998749,91462300
9/10/2020,341.820007,342.529999,332.850006,333.890015,331.147217,90569500
9/11/2020,335.820007,336.970001,331,334.059998,331.315796,84680200
9/14/2020,337.48999,340.380005,334.220001,338.459991,335.679657,65605700
9/15/2020,341.119995,342.019989,338.470001,340.170013,337.375641,52920900
9/16/2020,341.51001,343.059998,338.519989,338.820007,336.036713,82096000
9/17/2020,333.559998,337.700012,332.98999,335.839996,333.081207,91523300
9/18/2020,335.369995,335.48999,327.970001,330.649994,329.246521,105877900
9/21/2020,325.700012,327.130005,321.730011,326.970001,325.582153,99450800
9/22/2020,328.570007,330.899994,325.859985,330.299988,328.89801,63612100
9/23/2020,330.899994,331.200012,322.100006,322.640015,321.270538,93112200
9/24/2020,321.220001,326.799988,319.799988,323.5,322.126892,76681300
9/25/2020,322.579987,329.579987,321.640015,328.730011,327.334686,71069400
9/28/2020,333.220001,334.959991,332.149994,334.190002,332.771515,64584600
9/29/2020,333.970001,334.769989,331.619995,332.369995,330.959229,51304000
9/30/2020,333.089996,338.290009,332.880005,334.890015,333.468567,104081100
10/1/2020,337.690002,338.73999,335.01001,337.040009,335.609406,88698700
10/2/2020,331.700012,337.01001,331.190002,333.839996,332.423004,89431100
10/5/2020,336.059998,339.959991,336.01001,339.76001,338.317871,45713100
10/6/2020,339.910004,342.170013,334.380005,334.929993,333.508362,90128900
10/7/2020,338.119995,341.630005,338.089996,340.76001,339.313629,56999600
10/8/2020,342.850006,343.850006,341.859985,343.779999,342.320801,45242500
10/9/2020,345.559998,347.350006,344.890015,346.850006,345.377777,59528600
10/12/2020,349.589996,354.019989,349.059998,352.429993,350.934082,80388500
10/13/2020,352.279999,352.470001,349.089996,350.130005,348.64386,73255500
10/14/2020,350.75,351.929993,347.140015,347.929993,346.453186,57958700
10/15/2020,343.709991,348.019989,343.130005,347.5,346.025024,60357700
10/16/2020,348.959991,350.75,347.100006,347.290009,345.815918,89501900
10/19/2020,348.649994,349.329987,341.040009,342.01001,340.558319,68425600
10/20/2020,343.459991,346.880005,342.640015,343.380005,341.922516,60051900
10/21/2020,343.329987,345.670013,342.399994,342.730011,341.275269,63575000
10/22/2020,342.959991,345.23999,340.649994,344.609985,343.147278,55399300
10/23/2020,345.929993,345.98999,343.130005,345.779999,344.312317,49143900
10/26/2020,342.130005,342.980011,335.619995,339.390015,337.949463,91473000
10/27/2020,339.76001,340.119995,337.98999,338.220001,336.784393,65994100
10/28/2020,332.100006,338.25,326.130005,326.660004,325.273468,127094300
10/29/2020,326.910004,333.399994,325.089996,329.980011,328.579376,90597700
10/30/2020,328.279999,329.690002,322.600006,326.540009,325.153992,120287300
11/2/2020,330.200012,332.359985,327.23999,330.200012,328.798462,86068300
11/3/2020,333.690002,338.25,330.290009,336.029999,334.603699,93294200
11/4/2020,340.859985,347.940002,339.589996,343.540009,342.081818,126959700
11/5/2020,349.23999,352.190002,348.859985,350.23999,348.753387,82039700
11/6/2020,349.929993,351.51001,347.649994,350.160004,348.673737,74973000
11/9/2020,363.970001,364.380005,354.059998,354.559998,353.055054,172304200
11/10/2020,353.48999,355.179993,350.51001,354.040009,352.537262,85552000
11/11/2020,356.399994,357.559998,355.059998,356.670013,355.156097,58649000
11/12/2020,355.579987,356.720001,351.26001,353.209991,351.710754,67546200
11/13/2020,355.269989,358.899994,354.709991,358.100006,356.580017,62892200
11/16/2020,360.980011,362.779999,359.589996,362.570007,361.031067,74541100
11/17/2020,359.970001,361.920013,358.339996,360.619995,359.089325,66111000
11/18/2020,360.910004,361.5,356.23999,356.279999,354.767731,70591300
11/19/2020,355.600006,358.179993,354.149994,357.779999,356.261383,59940900
11/20/2020,357.5,357.720001,355.25,355.329987,353.821777,70417300
11/23/2020,357.279999,358.820007,354.869995,357.459991,355.942719,63230600
11/24/2020,360.209991,363.809998,359.290009,363.220001,361.678284,62415900
